FROM	Chemical name	CAS No.	SMILES
PEC	Chromic acid (H2CrO4)	7738-94-5	O[Cr](O)(=O)=O
PEC	Dichromic acid	13530-68-2	O[Cr](=O)(=O)O[Cr](O)(=O)=O
PEC	Cobalt sulfate	10124-43-3	O.O.O.O.O.O.O.[Co++].[O-][S]([O-])(=O)=O
PEC	Nickel dinitrate	13138-45-9	O.O.O.O.O.O.[Ni++].[O-][N+]([O-])=O.[O-][N](=O)=O
PEC	Pentalead tetraoxide sulfate	12065-90-6	O.O.O.O.[Pb].[Pb].[Pb].[Pb].[Pb].[O-][S]([O-])(=O)=O
PEC	Cadimium hydroxide	21041-95-2	O.O.[Cd]
PEC	Triphenyl phosphite	101-02-0	O(P(Oc1ccccc1)Oc2ccccc2)c3ccccc3
PEC	Diphenoxarsin-10-yl oxide	58-36-6	O([As]1c2ccccc2Oc3ccccc13)[As]4c5ccccc5Oc6ccccc46
PEC	Hydroxylamine	7803-49-8	NO
PEC	Hydrazine	302-01-2	NN
PEC	"3,6,9,12-Tetraazatetradecane-1,14-diamine"	4067-16-7	NCCNCCNCCNCCNCCN
PEC	"1,2-Ethanediamine ; Ethylenediamine"	107-15-3	NCCN
PEC	"1,2-Benzenediamine ; o-Phenylenediamine"	95-54-5	Nc1ccccc1N
PEC	Aniline	62-53-3	Nc1ccccc1
PEC	"1,3-Benzenediamine ; m-Phenylenediamine"	108-45-2	Nc1cccc(N)c1
PEC	"4,4'-Oxybisbenzenamine"	101-80-4	Nc1ccc(Oc2ccc(N)cc2)cc1
PEC	"1,4-Benzenediamine ; p-Phenylenediamine"	106-50-3	Nc1ccc(N)cc1
PEC	"4,4'-Methylenedianiline"	101-77-9	Nc1ccc(Cc2ccc(N)cc2)cc1
PEC	"3,3'-Dichloro-4,4'-diaminodiphenylmethane"	101-14-4	Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl
PEC	"3,3'-Dihydroxybenzidine"	2373-98-0	Nc1ccc(cc1O)c2ccc(N)c(O)c2
PEC	"3,3'-Dichloro-(1,1'-biphenyl)-4,4'-diamine"	91-94-1	Nc1ccc(cc1Cl)c2ccc(N)c(Cl)c2
PEC	"1H-1,2,4-Triazol-3-amine ; 3-Amino-1H-1,2,4-triazole ; Amitrole"	61-82-5	Nc1[nH]ncn1
PEC	"1,1'-Iminodi(octamethylene)diguanidine"	13516-27-3	NC(N)=NCCCCCCCCNCCCCCCCCN=C(N)N
PEC	2-Propenamide ; Acrylamide	79-06-1	NC(=O)C=C
PEC	Cyanamide	420-04-2	NC#N
PEC	N-Phenylbenzenamine ; Diphenylamine	122-39-4	N(c1ccccc1)c2ccccc2
PEC	N-Phenyl-1-naphthalenamine	90-30-2	N(c1ccccc1)c2cccc3ccccc23
PEC	Ammonia	7664-41-7	N
PEC	Fluorine	7782-41-4	FF
PEC	Fluquinconazole	136426-54-5	Fc1ccc2N=C(n3cncn3)N(C(=O)c2c1)c4ccc(Cl)cc4Cl
PEC	Fludioxonil	131341-86-1	FC1(F)Oc2cccc(c2O1)c3c[nH]cc3C#N
PEC	"Hexafluoro-1,3-butadiene"	685-63-2	FC(F)=C(F)C(F)=C(F)F
PEC	Trifluoroacetyl chloride	354-32-5	FC(F)(F)C(Cl)=O
PEC	Boron trifluoride	7637-07-2	FB(F)F
PEC	Trisodium hexafluoroaluminate	15096-52-3	F[Al-3](F)(F)(F)(F)F.[Na+].[Na+].[Na+]
PEC	Linuron ; Afalon	330-55-2	CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1
PEC	"1,1'-Oxybis(2-methoxyethane) ; Diglyme"	111-96-6	COCCOCCOC
PEC	2-(2-methoxyethoxy)ethanol	111-77-3	COCCOCCO
PEC	Ethylene glycol dimethyl ether	110-71-4	COCCOC
PEC	2-Methoxyethanol ; Methyl Cellosolve	109-86-4	COCCO
PEC	Chloromethyl methyl ether	107-30-2	COCCl
PEC	"Creosote, wood "	8021-39-4	COc1ccccc1O
PEC	o-Anisidine	90-04-0	COc1ccccc1N
PEC	"3,3'-Dimethoxy-[1,1'-biphenyl]-4,4'-diamine"	119-90-4	COc1cc(ccc1N)c2ccc(N)c(OC)c2
PEC	Methidathion ; Supracide	950-37-8	COC1=NN(CS[P](=S)(OC)OC)C(=O)S1
PEC	3-Methoxybutyl chloroformate	75032-87-0	COC(C)CCOC(Cl)=O
PEC	1H-Benzimidazol-2-ylcarbamic acid methyl ester	10605-21-7	COC(=O)Nc1[nH]c2ccccc2n1
PEC	"[1,2-Phenylenebis(iminocarbonothioyl)]biscarbamic acid dimethyl ester"	23564-05-8	COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC
PEC	Chloroacetic acid methyl ester ; Methyl α-chloroacetate	96-34-4	COC(=O)CCl
PEC	2-Propenoic acid methyl ester ; Methyl acrylate	96-33-3	COC(=O)C=C
PEC	Dimethylfumarate(DMF)	624-49-7	COC(=O)\C=C\C(=O)OC
PEC	Dicyclopentyldimethoxysilane	126990-35-0	CO[Si](C1CCCC1)(C2CCCC2)OC
PEC	Sulfuric acid dimethyl ester ; Dimethyl sulfate	77-78-1	CO[S](=O)(=O)OC
PEC	"Phosphoric acid 2,2-dichloroethenyl dimethyl ester"	62-73-7	CO[P](=O)(OC)OC=C(Cl)Cl
PEC	Trichlorofon ; Chlorofos	52-68-6	CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl
PEC	Methanol ; Methyl alcohol	67-56-1	CO
PEC	N-Methylbenzenamine ; Methylaniline	100-61-8	CNc1ccccc1
PEC	N-Methyl formamide ; Monomethylformamide	123-39-7	CNC=O
PEC	Carbofuran ; Furadan	1563-66-2	CNC(=O)Oc1cccc2CC(C)(C)Oc12
PEC	Methomyl ; Lannate	16752-77-5	CNC(=O)O\N=C(/C)SC
PEC	"5-Chloro-2-methyl-3(2H)-isothiazolone, mixt. with 2-methyl-3(2H)-isothiazolone"	55965-84-9	CN1SC=CC1=O.CN2SC(=CC2=O)Cl
PEC	1-Methyl-2-pyrrolidinone ; N-Methylpyrrolidone	872-50-4	CN1CCCC1=O
PEC	"N,N-Dimethylaniline ; N,N-Dimethylbenzenamine"	121-69-7	CN(C)c1ccccc1
PEC	"Bis[[4-[4-(dimethylamino)benzhydrylidene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium] oxalate, dioxalate"	2437-29-8	CN(C)c1ccc(cc1)[C+](c2ccccc2)c3ccc(cc3)N(C)C.CN(C)c4ccc(cc4)[C+](c5ccccc5)c6ccc(cc6)N(C)C.OC(=O)C(O)=O.OC(=O)C([O-])=O.OC(=O)C([O-])=O
PEC	"N,N,4-Trimethylbenzenamine ; Dimethyl-p-toludine"	99-97-8	CN(C)c1ccc(C)cc1
PEC	"N,N-Dimethylformamide ; Dimethylformamide"	68-12-2	CN(C)C=O
PEC	"N,N-Dimethylacetamide"	127-19-5	CN(C)C(C)=O
PEC	Tetramethylthiuram disulfide ; Thiram	137-26-8	CN(C)C(=S)SSC(=S)N(C)C
PEC	Fenothiocarb	62850-32-2	CN(C)C(=O)SCCCCOc1ccccc1
PEC	"N'-(3,4-Dichlorophenyl)-N,N-dimethyl urea"	330-54-1	CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
PEC	"N,N-Dimethylmethanamine ; Trimethylamine"	75-50-3	CN(C)C
PEC	Dimethylaminosulfonyl chloride	13360-57-1	CN(C)[S](Cl)(=O)=O
PEC	Methylamine ; Methanamine ; Monomethylamine	74-89-5	CN
PEC	Disulfur dichloride	10025-67-9	ClSSCl
PEC	Phosphorus trichloride	7719-12-2	ClP(Cl)Cl
PEC	"1,3,5-Trichloro-1,3,5-triazine-2,4,6(1H,3H,5H)-trione"	87-90-1	ClN1C(=O)N(Cl)C(=O)N(Cl)C1=O
PEC	Chlorine	7782-50-5	ClCl
PEC	Tri(2-chloroethyl)phosphate	115-96-8	ClCCO[P](=O)(OCCCl)OCCCl
PEC	Methylene chloride ; Dichloromethane	75-09-2	ClCCl
PEC	"1,2-Dichloroethane"	107-06-2	ClCCCl
PEC	"1-Chloro-2,3-epoxypropane ; Epichlorohydrin"	106-89-8	ClCC1CO1
PEC	(Chloromethyl)benzene ; Benzyl chloride	100-44-7	ClCc1ccccc1
PEC	2-Chloro-5-(chloromethyl)pyridine	70258-18-3	ClCc1ccc(Cl)nc1
PEC	3-Chloro-1-propene ; Allyl chloride ; Chlorallylene	107-05-1	ClCC=C
PEC	"1,1,2-Trichloroethane "	79-00-5	ClCC(Cl)Cl
PEC	Chloroacetyl chloride	79-04-9	ClCC(Cl)=O
PEC	2-Chloropyridine	109-09-1	Clc1ccccn1
PEC	"1,2-Dichlorobenzene ; o-Dichlorobenzene"	95-50-1	Clc1ccccc1Cl
PEC	"1,4-Dichlorobenzene ; p-Dichlorobenzene"	106-46-7	Clc1ccc(Cl)cc1
PEC	"1,2,4-Trichlorobenzene"	120-82-1	Clc1ccc(Cl)c(Cl)c1
PEC	"4,5,6,7-Tetrachloro-1,3-isobenzofurandione"	117-08-8	Clc1c(Cl)c(Cl)c2C(=O)OC(=O)c2c1Cl
PEC	"2,4,5,6-Tetrachloro-1,3-benzenedicarbonitrile"	1897-45-6	Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl
PEC	"1,2,3,4,5,5-Hexachloro-1,3-cyclopentadiene"	77-47-4	ClC1=C(Cl)C(Cl)(Cl)C(=C1Cl)Cl
PEC	Ethylene trichloride ; Trichloroethylene ; Trichloroethene	79-01-6	ClC=C(Cl)Cl
PEC	Vinyl chloride	75-01-4	ClC=C
PEC	"1,3-Dichloropropene"	542-75-6	ClC\C=C/Cl
PEC	"1-Chloro-2,3-epoxypropane ; Epichlorohydrin"	51594-55-9	ClC[C@H]1CO1
PEC	"1-Chloro-2,3-epoxypropane ; Epichlorohydrin"	67843-74-7	ClC[C@@H]1CO1
PEC	"1,3-Dichloropropene"	10061-02-6	ClC/C=C/Cl
PEC	Trichloromethane ; Chloroform	67-66-3	ClC(Cl)Cl
PEC	"1,1,2,2-Tetrachloroethane"	79-34-5	ClC(Cl)C(Cl)Cl
PEC	Phosgene	75-44-5	ClC(Cl)=O
PEC	Tetrachloroethene ; Tetrachloroethylene	127-18-4	ClC(Cl)=C(Cl)Cl
PEC	"1,1-Dichloroethene "	75-35-4	ClC(Cl)=C
PEC	Carbon tetrachloride ; Tetrachloromethane	56-23-5	ClC(Cl)(Cl)Cl
PEC	"(Trichloromethyl)benzene ; α,α,α-Trichlorotoluene"	98-07-7	ClC(Cl)(Cl)c1ccccc1
PEC	Hexachloroethane	67-72-1	ClC(Cl)(Cl)C(Cl)(Cl)Cl
PEC	Trichloroacetonitrile	545-06-2	ClC(Cl)(Cl)C#N
PEC	Benzyl chloroformate	501-53-1	ClC(=O)OCc1ccccc1
PEC	Benzoyl chloride	98-88-4	ClC(=O)c1ccccc1
PEC	"2-Chloro-1,3-butadiene"	126-99-8	ClC(=C)C=C
PEC	Thionyl chloride	7719-09-7	Cl[S](Cl)=O
PEC	Phosphoryl trichloride	10025-87-3	Cl[P](Cl)(Cl)=O
PEC	Phosphorus pentachloride	10026-13-8	Cl[P](Cl)(Cl)(Cl)Cl
PEC	Ethyleneglycol monoethyl ether acetate	111-15-9	CCOCCOC(C)=O
PEC	Ethylene glycol monoethyl ether	110-80-5	CCOCCO
PEC	3-Ethoxy-1-propylamine	6291-85-6	CCOCCCN
PEC	Ethyl carbamate	51-79-6	CCOC(N)=O
PEC	Acetic acid ethyl ester ; Ethyl acetate	141-78-6	CCOC(C)=O
PEC	Ethyl bromoacetate	105-36-2	CCOC(=O)CBr
PEC	"[3-(2,3-Epoxypropoxy)propyl]diethoxymethylsilane"	2897-60-1	CCO[Si](C)(CCCOCC1CO1)OCC
PEC	Sulfuric acid diethyl ester ; Diethyl sulfate	64-67-5	CCO[S](=O)(=O)OCC
PEC	Phorate	298-02-2	CCO[P](=S)(OCC)SCSCC
PEC	"O,O-Diethyl-O-(3,5,6-trichloro-2-pyridyl)phosphorothioate"	2921-88-2	CCO[P](=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
PEC	Dimpylate	333-41-5	CCO[P](=S)(OCC)Oc1cc(C)nc(n1)C(C)C
PEC	N-[2-[(4-Amino-3-methylphenyl)ethylamino]ethyl]methanesulfonamide sulfate (2:3)	25646-71-3	CCN(CCN[S](C)(=O)=O)c1ccc(N)c(C)c1.CCN(CCN[S](C)(=O)=O)c2ccc(N)c(C)c2.O[S](O)(=O)=O.O[S](O)(=O)=O.O[S](O)(=O)=O
PEC	"N,N-Diethylethanamine"	121-44-8	CCN(CC)CC
PEC	"N,N-Diethylbenzenamine ; N,N-Diethylaniline"	91-66-7	CCN(CC)c1ccccc1
PEC	"N,N-Diethyl-m-toluidine"	91-67-8	CCN(CC)c1cccc(C)c1
PEC	Bis(diethylthiocarbamoyl) disulfide ; Disulfiram ; Cronetal	97-77-8	CCN(CC)C(=S)SSC(=S)N(CC)CC
PEC	Chloromethane	74-87-3	CCl
PEC	Chloroethane ; Ethyl chloride	75-00-3	CCCl
PEC	2-(2-butoxyethoxy)ethanol	112-34-5	CCCCOCCOCCO
PEC	(Butoxymethyl)oxirane	2426-08-6	CCCCOCC1CO1
PEC	Furathiocarb	65907-30-4	CCCCOC(=O)N(C)SN(C)C(=O)Oc1cccc2CC(C)(C)Oc12
PEC	"1,2-Benzenedicarboxylic acid dibutyl ester"	84-74-2	CCCCOC(=O)c1ccccc1C(=O)OCCCC
PEC	"1,2-Benzenedicarboxylic acid butyl phenylmethyl ester"	85-68-7	CCCCOC(=O)c1ccccc1C(=O)OCc2ccccc2
PEC	N-Butyl-1-butanamine ; n-Dibutylamine	111-92-2	CCCCNCCCC
PEC	"N,N-Dibutyl-1-butanamine ; Tributylamine"	102-82-9	CCCCN(CCCC)CCCC
PEC	1-Butanamine ; n-Butylamine	109-73-9	CCCCN
PEC	Di-n-octyl phthalate	117-84-0	CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC
PEC	2-Octyl-3(2H)-isothiazolone	26530-20-1	CCCCCCCCN1SC=CC1=O
PEC	2-Methyl-2-propenoic acid dodecyl ester	142-90-5	CCCCCCCCCCCCOC(=O)C(C)=C
PEC	"α-(Nonylphenyl)-ω-hydroxypoly(oxy-1,2-ethanediyl)"	9016-45-9	CCCCCCCCCc1ccc(OCCOCCO)cc1
PEC	Cadmium bis(o-nonylphenolate)	93894-07-6	CCCCCCCCCC1=CC=CC=C1[O-].CCCCCCCCCC1=CC=CC=C1[O-].[Cd+2]
PEC	4-Octylphenol	1806-26-4	CCCCCCCCc1ccc(O)cc1
PEC	Dioctyl phthalate	117-81-7	CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
PEC	"2-Ethylhexanoic acid zinc salt, basic"	85203-81-2	CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Zn+2]
PEC	Tributyltin chloride	1461-22-9	CCCC[Sn](CCCC)(CCCC)Cl
PEC	"Glycidyl butyrate ; Butanoic acid, oxiranylmethyl ester"	2461-40-7	CCCC(=O)OCC1CO1
PEC	"Glycidyl butyrate ; Butanoic acid, oxiranylmethyl ester"	60456-26-0	CCCC(=O)OC[C@H]1CO1
PEC	1-Bromopropane	106-94-5	CCCBr
PEC	"2,4-Diamino-3,5-diethyltoluene"	2095-02-5	CCc1cc(C)c(N)c(CC)c1N
PEC	"ar,ar-Diethyl-ar-methylbenzenediamine"	68479-98-1	CCc1c(C)cc(N)c(CC)c1N
PEC	2-Benzyl-2-dimethylamino-1-(4-morpholino-phenyl)-1-butanone	119313-12-1	CCC(Cc1ccccc1)(N(C)C)C(=O)c2ccc(cc2)N3CCOCC3
PEC	"2-sec-Butyl-4,6-dinitrophenol"	88-85-7	CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O
PEC	"Methyl ethyl ketone ; MEK, 2-Butanone"	78-93-3	CCC(C)=O
PEC	2-Butanone peroxide	1338-23-4	CCC(C)(OO)OOC(C)(CC)OO
PEC	di-tert-amyl peroxide	10508-09-5	CCC(C)(C)OOC(C)(C)CC
PEC	"4-(1,1-Dimethylpropyl)phenol ; 4-tert-Amylphenol"	80-46-6	CCC(C)(C)c1ccc(O)cc1
PEC	"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran"	1222-05-5	CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C
PEC	Difenoconazole	119446-68-3	CC1COC(Cn2cncn2)(O1)c3ccc(Oc4ccc(Cl)cc4)cc3Cl
PEC	Methyl oxirane ; Propylene oxide	75-56-9	CC1CO1
PEC	o-Cresol; 2-Methylphenol	95-48-7	Cc1ccccc1O
PEC	2-Methylbenzenamine ; o-Toluidine ; 2-Aminotoluene	95-53-4	Cc1ccccc1N
PEC	"o-Xylene ; 1,2-Dimethylbenzene"	95-47-6	Cc1ccccc1C
PEC	1-Methyl-2-nitrobenzene ; o-Nitrotoluene	88-72-2	Cc1ccccc1[N+]([O-])=O
PEC	Toluene	108-88-3	Cc1ccccc1
PEC	m-Cresol ; 3-Methylphenol	108-39-4	Cc1cccc(O)c1
PEC	"3-Methyl-1,2-benzenediamine ; Toluene-2,3-diamine"	2687-25-4	Cc1cccc(N)c1N
PEC	"2,6-Xylenol ; 2,6-Dimethylphenol"	576-26-1	Cc1cccc(C)c1O
PEC	"m-xylene ; 1,3-Dimethylbenzene"	108-38-3	Cc1cccc(C)c1
PEC	p-Cresol; 4-Methylphenol	106-44-5	Cc1ccc(O)cc1
PEC	"2,4-Dimethylphenol ; 2,4-Xylenol"	105-67-9	Cc1ccc(O)c(C)c1
PEC	"4-Methyl-1,3-benzenediamine"	95-80-7	Cc1ccc(N)cc1N
PEC	4-Methylbenzenamine ; p-Toluidine ; 4-Aminotoluene	106-49-0	Cc1ccc(N)cc1
PEC	"Toluene-3,4-diamine"	496-72-0	Cc1ccc(N)c(N)c1
PEC	"2,4-Diisocyanatotoluene ; 2,4-Toluene diisocyanate ; 2,4-TDI"	584-84-9	Cc1ccc(cc1N=C=O)N=C=O
PEC	"2,4-Dinitrotoluene"	121-14-2	Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O
PEC	1-Methyl-4-nitrobenzene ; p-Nitrotoluene	99-99-0	Cc1ccc(cc1)[N+]([O-])=O
PEC	"p-Xylene ; 1,4-Dimethylbenzene"	106-42-3	Cc1ccc(C)cc1
PEC	"2,5-Dimethylphenol ; 2,5-Xylenol"	95-87-4	Cc1ccc(C)c(O)c1
PEC	"3,3'-Dimethyl-(1,1'-biphenyl)-4,4'-diamine"	119-93-7	Cc1cc(ccc1N)c2ccc(N)c(C)c2
PEC	"3,5-Xylenol ; 3,5-Dimethylphenol"	108-68-9	Cc1cc(C)cc(O)c1
PEC	"2-Methyl-1,3-benzenediamine"	823-40-5	Cc1c(N)cccc1N
PEC	"1,3-Diisocyanato-2-methylbenzene"	91-08-7	Cc1c(cccc1N=C=O)N=C=O
PEC	"3(or 4)-Methylbenzene-1,2-diamine"	26966-75-6	CC1=CC(=C(C=C1)N)N.CC1=C(C(=CC=C1)N)N
PEC	"Tetrakis(1,2,2,6,6-pentamethyl-4-piperidyl) 1,2,3,4-butanetetracarboxylate"	91788-83-9	CC1(CC(CC(N1C)(C)C)OC(=O)CC(C(CC(=O)OC2CC(N(C(C2)(C)C)C)(C)C)C(=O)OC3CC(N(C(C3)(C)C)C)(C)C)C(=O)OC4CC(N(C(C4)(C)C)C)(C)C)C
PEC	"3-Isocyanatomethyl-3,5,5-trimethylcyclohexylisocyanate"	4098-71-9	CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O
PEC	"α-Cyano-3-phenoxybenzyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate"	52315-07-8	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
PEC	"3-(2,2-Dichloroethenyl)-2,2-dimethyl-cyclopropanecarboxylic acid (3-phenoxyphenyl)methyl ester"	52645-53-1	CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OCc2cccc(Oc3ccccc3)c2
PEC	Decamethrin	52918-63-5	CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2
PEC	Acetaldehyde ; Ethanal	75-07-0	CC=O
PEC	"cis-4-[3-(p-tert-Butylphenyl)-2-methylpropyl]-2,6-dimethylmorpholine"	67564-91-4	CC(CN1C[C@H](C)O[C@H](C)C1)Cc2ccc(cc2)C(C)(C)C
PEC	"N-(1-Methylethyl)-N'-phenyl-1,4-benzenediamine"	101-72-4	CC(C)Nc1ccc(Nc2ccccc2)cc1
PEC	"1,2-Benzenedicarboxylic acid diisobutyl ester"	84-69-5	CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C
PEC	2-Methyl-2-propenoic acid 2-methylpropyl ester	97-86-9	CC(C)COC(=O)C(C)=C
PEC	2-Propenoic acid isooctyl ester	29590-42-9	CC(C)CCCCCOC(=O)C=C
PEC	"1,2-Benzenedicarboxylic acid diisononyl ester"	28553-12-0	CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C
PEC	"1,2-Benzenedicarboxylic acid diisodecyl ester"	26761-40-0	CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C
PEC	Branched 4-nonylphenol	84852-15-3	CC(C)CCCCCCc1ccc(O)cc1
PEC	"N-(1,3-Dimethylbutyl)-N'-phenyl-1,4-benzenediamine"	793-24-8	CC(C)CC(C)Nc1ccc(Nc2ccccc2)cc1
PEC	"4,4'-(1-Methylethylidene)bisphenol polymer with (chloromethyl)oxirane"	25068-38-6	CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3
PEC	"4,4'-(1-Methylethylidene)bisphenol; Bisphenol A"	80-05-7	CC(C)(c1ccc(O)cc1)c2ccc(O)cc2
